"search.str";"establishment";"domain";"endemism"
"Alchornea glandulosa";"native";"Amazônia|Cerrado|Mata Atlântica";"Não endemica"
"Alchornea triplinervia";"native";"Amazônia|Caatinga|Cerrado|Mata Atlântica";"Não endemica"
"Anadenanthera peregrina";"native";"Amazônia|Caatinga|Cerrado|Mata Atlântica";"Não endemica"
"Apuleia leiocarpa";"native";"Amazônia|Caatinga|Cerrado|Mata Atlântica";"Não endemica"
"Balfourodendron riedelianum";"native";"Cerrado|Mata Atlântica";"Não endemica"
"Bixa orellana";"native";"Amazônia|Cerrado|Mata Atlântica";"Não endemica"
"Cariniana estrellensis";"native";"Amazônia|Cerrado|Mata Atlântica";"Não endemica"
"Cariniana legalis";"native";"Mata Atlântica";"Endemica"
"Citharexylum myrianthum";"native";"Caatinga|Cerrado|Mata Atlântica";"Não endemica"
"Copaifera langsdorffii";"native";"Amazônia|Caatinga|Cerrado|Mata Atlântica";"Não endemica"
"Cordia superba";"native";"Caatinga|Cerrado|Mata Atlântica";"Endemica"
"Cordia trichotoma";"native";"Caatinga|Cerrado|Mata Atlântica|Pampa";"Não endemica"
"Croton floribundus";"native";"Mata Atlântica";"Não endemica"
"Croton urucurana";"native";"Amazônia|Cerrado|Mata Atlântica";"Não endemica"
"Dalbergia nigra";"native";"Mata Atlântica";"Endemica"
"Enterolobium contortisiliquum";"native";"Caatinga|Cerrado|Mata Atlântica";"Não endemica"
"Eremanthus erythropappus";"native";"Cerrado|Mata Atlântica";"Endemica"
"Genipa americana";"native";"Amazônia|Caatinga|Cerrado|Mata Atlântica|Pantanal";"Não endemica"
"Guazuma ulmifolia";"native";"Amazônia|Caatinga|Cerrado|Mata Atlântica";"Não endemica"
"Handroanthus heptaphyllus";"native";"Cerrado|Mata Atlântica";"Não endemica"
"Handroanthus serratifolius";"native";"Amazônia|Caatinga|Cerrado|Mata Atlântica|Pantanal";"Não endemica"
"Hymenaea courbaril";"native";"Amazônia|Caatinga|Cerrado|Mata Atlântica|Pantanal";"Não endemica"
"Joannesia princeps";"native";"Caatinga|Cerrado|Mata Atlântica";"Endemica"
"Lecythis pisonis";"native";"Amazônia|Mata Atlântica";"Endemica"
"Maclura tinctoria";"native";"Amazônia|Caatinga|Cerrado|Mata Atlântica|Pantanal";"Não endemica"
"Myrsine guianensis";"native";"Amazônia|Caatinga|Cerrado|Mata Atlântica";"Não endemica"
"Peltophorum dubium";"native";"Caatinga|Cerrado";"Não endemica"
"Pterogyne nitens";"native";"Caatinga|Cerrado|Mata Atlântica";"Não endemica"
"Schizolobium parahyba";"native";"Amazônia|Mata Atlântica";"Não endemica"
"Senegalia polyphylla";"native";"Amazônia|Caatinga|Cerrado|Mata Atlântica|Pantanal";"Não endemica"
"Senna multijuga";"native";NA;"Não endemica"
"Solanum granulosoleprosum";"native";"Cerrado|Mata Atlântica";"Não endemica"
"Solanum lycocarpum";"native";"Cerrado|Mata Atlântica";"Não endemica"
"Zeyheria tuberculosa";"native";"Caatinga|Cerrado|Mata Atlântica";"Não endemica"
"Acnistus arborescens";"native";"Mata Atlântica";"Não endemica"
"Albizia niopoides";"native";"Amazônia|Cerrado|Mata Atlântica|Pampa";"Não endemica"
"Cedrela fissilis";"native";"Amazônia|Cerrado|Mata Atlântica";"Não endemica"
"Centrolobium robustum";"native";"Mata Atlântica";"Não endemica"
"Clitoria fairchildiana";"native";"Amazônia|Caatinga|Cerrado|Mata Atlântica";NA
"Handroanthus impetiginosus";"native";"Amazônia|Caatinga|Cerrado|Mata Atlântica|Pantanal";"Não endemica"
"Inga marginata";"native";"Amazônia|Cerrado|Mata Atlântica";"Não endemica"
"Inga vera";"native";NA;"Não endemica"
"Lafoensia glyptocarpa";"native";"Cerrado";"Endemica"
"Paubrasilia echinata";"native";"Mata Atlântica";"Endemica"
"Piptadenia gonoacantha";"native";"Cerrado|Mata Atlântica";"Não endemica"
"Plathymenia reticulata";"native";"Amazônia|Caatinga|Cerrado|Mata Atlântica";"Não endemica"
"Pouteria caimito";"native";"Amazônia|Cerrado|Mata Atlântica";"Não endemica"
"Schinus terebinthifolia";"native";"Caatinga|Cerrado|Mata Atlântica|Pampa";"Não endemica"
"Tibouchina estrellensis";"native";"Mata Atlântica";"Endemica"
